object,id,name,lang,released_at,uri,scryfall_uri,layout,highres_image,image_status,image_uris,mana_cost,cmc,type_line,oracle_text,colors,color_identity,keywords,legalities,games,reserved,game_changer,finishes,oversized,set_id,digital,rarity,card_back_id,artist_ids,booster,story_spotlight,edhrec_rank,penny_rank,preview,power,toughness,all_parts,promo_types,frame_effects,produced_mana
card,7dd9946b-515e-4e0d-9da2-711e126e9fa6,Agate Assault,en,2024-08-02,https://api.scryfall.com/cards/7dd9946b-515e-4e0d-9da2-711e126e9fa6,https://scryfall.com/card/blb/122/agate-assault?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563', 'normal': 'https://cards.scryfall.io/normal/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563', 'large': 'https://cards.scryfall.io/large/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563', 'png': 'https://cards.scryfall.io/png/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.png?1721426563', 'art_crop': 'https://cards.scryfall.io/art_crop/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563', 'border_crop': 'https://cards.scryfall.io/border_crop/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563'}",{2}{R},3.0,Sorcery,"Choose one —
• Agate Assault deals 4 damage to target creature. If that creature would die this turn, exile it instead.
• Exile target artifact.",['R'],['R'],[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,common,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['d887bc66-2779-416c-a1ff-d8720242063e'],True,False,10538.0,13347.0,"{'source': 'Wizards of the Coast', 'source_uri': '', 'previewed_at': '2024-07-16'}",,,,,,
card,39ebb84a-1c52-4b07-9bd0-b360523b3a5b,Agate-Blade Assassin,en,2024-08-02,https://api.scryfall.com/cards/39ebb84a-1c52-4b07-9bd0-b360523b3a5b,https://scryfall.com/card/blb/82/agate-blade-assassin?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.jpg?1721426332', 'normal': 'https://cards.scryfall.io/normal/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.jpg?1721426332', 'large': 'https://cards.scryfall.io/large/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.jpg?1721426332', 'png': 'https://cards.scryfall.io/png/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.png?1721426332', 'art_crop': 'https://cards.scryfall.io/art_crop/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.jpg?1721426332', 'border_crop': 'https://cards.scryfall.io/border_crop/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.jpg?1721426332'}",{1}{B},2.0,Creature — Lizard Assassin,"Whenever this creature attacks, defending player loses 1 life and you gain 1 life.",['B'],['B'],[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,common,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['e4631396-f0ce-41df-9d35-a7bd1da9d5a6'],True,False,9353.0,,"{'source': 'Wizards of the Coast', 'source_uri': '', 'previewed_at': '2024-07-17'}",1,3,,,,
card,b24c3e9c-2aff-45fd-9c87-3ebd33bbe807,A-Heartfire Hero,en,2024-08-02,https://api.scryfall.com/cards/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807,https://scryfall.com/card/blb/A-138/a-heartfire-hero?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/b/2/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807.jpg?1747030876', 'normal': 'https://cards.scryfall.io/normal/front/b/2/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807.jpg?1747030876', 'large': 'https://cards.scryfall.io/large/front/b/2/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807.jpg?1747030876', 'png': 'https://cards.scryfall.io/png/front/b/2/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807.png?1747030876', 'art_crop': 'https://cards.scryfall.io/art_crop/front/b/2/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807.jpg?1747030876', 'border_crop': 'https://cards.scryfall.io/border_crop/front/b/2/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807.jpg?1747030876'}",{R},1.0,Creature — Mouse Soldier,"Valiant — Whenever Heartfire Hero becomes the target of a spell or ability you control for the first time each turn, put a +1/+1 counter on it.
When Heartfire Hero dies, it deals damage equal to its power to each opponent.",['R'],['R'],['Valiant'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['arena'],False,False,['nonfoil'],False,a2f58272-bba6-439d-871e-7a46686ac018,True,uncommon,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['36901417-ce61-4636-8b77-6db14a9cb68a'],False,False,,,,0,1,"[{'object': 'related_card', 'id': '48ace959-66b2-40c8-9bff-fd7ed9c99a82', 'component': 'combo_piece', 'name': 'Heartfire Hero', 'type_line': 'Creature — Mouse Soldier', 'uri': 'https://api.scryfall.com/cards/48ace959-66b2-40c8-9bff-fd7ed9c99a82'}, {'object': 'related_card', 'id': 'b24c3e9c-2aff-45fd-9c87-3ebd33bbe807', 'component': 'combo_piece', 'name': 'A-Heartfire Hero', 'type_line': 'Creature — Mouse Soldier', 'uri': 'https://api.scryfall.com/cards/b24c3e9c-2aff-45fd-9c87-3ebd33bbe807'}]","['rebalanced', 'alchemy']",,
card,436d6a84-4cea-4ca7-94aa-9d08280652af,"Alania, Divergent Storm",en,2024-08-02,https://api.scryfall.com/cards/436d6a84-4cea-4ca7-94aa-9d08280652af,https://scryfall.com/card/blb/204/alania-divergent-storm?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997', 'normal': 'https://cards.scryfall.io/normal/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997', 'large': 'https://cards.scryfall.io/large/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997', 'png': 'https://cards.scryfall.io/png/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.png?1721426997', 'art_crop': 'https://cards.scryfall.io/art_crop/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997', 'border_crop': 'https://cards.scryfall.io/border_crop/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997'}",{3}{U}{R},5.0,Legendary Creature — Otter Wizard,"Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy.","['R', 'U']","['R', 'U']",[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,rare,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['553b2a73-780f-414b-b2d7-3b7888821082'],True,False,5700.0,,"{'source': 'Wizards of the Coast', 'source_uri': 'https://magic.wizards.com/en/products/bloomburrow/card-image-gallery', 'previewed_at': '2024-07-09'}",3,5,,,['legendary'],
card,d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1,Alania's Pathmaker,en,2024-08-02,https://api.scryfall.com/cards/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1,https://scryfall.com/card/blb/123/alanias-pathmaker?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565', 'normal': 'https://cards.scryfall.io/normal/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565', 'large': 'https://cards.scryfall.io/large/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565', 'png': 'https://cards.scryfall.io/png/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.png?1721426565', 'art_crop': 'https://cards.scryfall.io/art_crop/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565', 'border_crop': 'https://cards.scryfall.io/border_crop/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565'}",{3}{R},4.0,Creature — Otter Wizard,"When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card.",['R'],['R'],[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,common,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['064b9176-e325-44f6-a413-2cadb7505851'],True,False,12363.0,,"{'source': 'Wizards of the Coast', 'source_uri': '', 'previewed_at': '2024-07-16'}",4,2,,,,
card,8b9e51d9-189b-4dd6-87cb-628ea6373e81,Artist's Talent,en,2024-08-02,https://api.scryfall.com/cards/8b9e51d9-189b-4dd6-87cb-628ea6373e81,https://scryfall.com/card/blb/124/artists-talent?utm_source=api,class,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.jpg?1721426571', 'normal': 'https://cards.scryfall.io/normal/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.jpg?1721426571', 'large': 'https://cards.scryfall.io/large/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.jpg?1721426571', 'png': 'https://cards.scryfall.io/png/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.png?1721426571', 'art_crop': 'https://cards.scryfall.io/art_crop/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.jpg?1721426571', 'border_crop': 'https://cards.scryfall.io/border_crop/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.jpg?1721426571'}",{1}{R},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever you cast a noncreature spell, you may discard a card. If you do, draw a card.
{2}{R}: Level 2
Noncreature spells you cast cost {1} less to cast.
{2}{R}: Level 3
If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.",['R'],['R'],[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,rare,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['21ed6499-c4d3-4965-ab02-6c7228275bec'],True,False,3168.0,,"{'source': 'Wizards of the Coast', 'source_uri': 'https://magic.wizards.com/en/products/bloomburrow/card-image-gallery', 'previewed_at': '2024-07-09'}",,,,,,
card,211af1bf-910b-41a5-b928-f378188d1871,Azure Beastbinder,en,2024-08-02,https://api.scryfall.com/cards/211af1bf-910b-41a5-b928-f378188d1871,https://scryfall.com/card/blb/41/azure-beastbinder?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/2/1/211af1bf-910b-41a5-b928-f378188d1871.jpg?1721426023', 'normal': 'https://cards.scryfall.io/normal/front/2/1/211af1bf-910b-41a5-b928-f378188d1871.jpg?1721426023', 'large': 'https://cards.scryfall.io/large/front/2/1/211af1bf-910b-41a5-b928-f378188d1871.jpg?1721426023', 'png': 'https://cards.scryfall.io/png/front/2/1/211af1bf-910b-41a5-b928-f378188d1871.png?1721426023', 'art_crop': 'https://cards.scryfall.io/art_crop/front/2/1/211af1bf-910b-41a5-b928-f378188d1871.jpg?1721426023', 'border_crop': 'https://cards.scryfall.io/border_crop/front/2/1/211af1bf-910b-41a5-b928-f378188d1871.jpg?1721426023'}",{1}{U},2.0,Creature — Rat Rogue,"Vigilance
This creature can't be blocked by creatures with power 2 or greater.
Whenever this creature attacks, up to one target artifact, creature, or planeswalker an opponent controls loses all abilities until your next turn. If it's a creature, it also has base power and toughness 2/2 until your next turn.",['U'],['U'],['Vigilance'],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,rare,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2'],True,False,5075.0,6282.0,"{'source': 'Wizards of the Coast', 'source_uri': 'https://x.com/mtgjp/status/1813581947127648442', 'previewed_at': '2024-07-17'}",1,3,,,,
card,5309354f-1ff4-4fa9-9141-01ea2f7588ab,Bakersbane Duo,en,2024-08-02,https://api.scryfall.com/cards/5309354f-1ff4-4fa9-9141-01ea2f7588ab,https://scryfall.com/card/blb/163/bakersbane-duo?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.jpg?1721426764', 'normal': 'https://cards.scryfall.io/normal/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.jpg?1721426764', 'large': 'https://cards.scryfall.io/large/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.jpg?1721426764', 'png': 'https://cards.scryfall.io/png/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.png?1721426764', 'art_crop': 'https://cards.scryfall.io/art_crop/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.jpg?1721426764', 'border_crop': 'https://cards.scryfall.io/border_crop/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.jpg?1721426764'}",{1}{G},2.0,Creature — Squirrel Raccoon,"When this creature enters, create a Food token.
Whenever you expend 4, this creature gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",['G'],['G'],['Food'],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,common,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['1922e455-d09b-4922-afec-5f6fb5bb5111'],True,False,10457.0,9634.0,"{'source': 'Wizards of the Coast', 'source_uri': '', 'previewed_at': '2024-07-16'}",2,2,"[{'object': 'related_card', 'id': '0dce2241-e58b-41d4-b57c-9794fc8ee004', 'component': 'token', 'name': 'Food', 'type_line': 'Token Artifact — Food', 'uri': 'https://api.scryfall.com/cards/0dce2241-e58b-41d4-b57c-9794fc8ee004'}, {'object': 'related_card', 'id': '5309354f-1ff4-4fa9-9141-01ea2f7588ab', 'component': 'combo_piece', 'name': 'Bakersbane Duo', 'type_line': 'Creature — Squirrel Raccoon', 'uri': 'https://api.scryfall.com/cards/5309354f-1ff4-4fa9-9141-01ea2f7588ab'}]",,,
card,485dc8d8-9e44-4a0f-9ff6-fa448e232290,Bandit's Talent,en,2024-08-02,https://api.scryfall.com/cards/485dc8d8-9e44-4a0f-9ff6-fa448e232290,https://scryfall.com/card/blb/83/bandits-talent?utm_source=api,class,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/4/8/485dc8d8-9e44-4a0f-9ff6-fa448e232290.jpg?1739659353', 'normal': 'https://cards.scryfall.io/normal/front/4/8/485dc8d8-9e44-4a0f-9ff6-fa448e232290.jpg?1739659353', 'large': 'https://cards.scryfall.io/large/front/4/8/485dc8d8-9e44-4a0f-9ff6-fa448e232290.jpg?1739659353', 'png': 'https://cards.scryfall.io/png/front/4/8/485dc8d8-9e44-4a0f-9ff6-fa448e232290.png?1739659353', 'art_crop': 'https://cards.scryfall.io/art_crop/front/4/8/485dc8d8-9e44-4a0f-9ff6-fa448e232290.jpg?1739659353', 'border_crop': 'https://cards.scryfall.io/border_crop/front/4/8/485dc8d8-9e44-4a0f-9ff6-fa448e232290.jpg?1739659353'}",{1}{B},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, each opponent discards two cards unless they discard a nonland card.
{B}: Level 2
At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, they lose 2 life.
{3}{B}: Level 3
At the beginning of your draw step, draw an additional card for each opponent who has one or fewer cards in hand.",['B'],['B'],[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,uncommon,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['93bec3c0-0260-4d31-8064-5d01efb4153f'],True,False,6314.0,123.0,"{'source': 'The Sun', 'source_uri': 'https://thesun.my/style-life/wizards-s-exclusive-bandit-s-talent-KF12713191', 'previewed_at': '2024-07-12'}",,,,,,
card,25a06f82-ebdb-4dd6-bfe8-958018ce557c,Banishing Light,en,2024-08-02,https://api.scryfall.com/cards/25a06f82-ebdb-4dd6-bfe8-958018ce557c,https://scryfall.com/card/blb/1/banishing-light?utm_source=api,normal,True,highres_scan,"{'small': 'https://cards.scryfall.io/small/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761', 'normal': 'https://cards.scryfall.io/normal/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761', 'large': 'https://cards.scryfall.io/large/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761', 'png': 'https://cards.scryfall.io/png/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.png?1721425761', 'art_crop': 'https://cards.scryfall.io/art_crop/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761', 'border_crop': 'https://cards.scryfall.io/border_crop/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761'}",{2}{W},3.0,Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",['W'],['W'],[],"{'standard': 'legal', 'future': 'legal', 'historic': 'legal', 'timeless': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'explorer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'oathbreaker': 'legal', 'standardbrawl': 'legal', 'brawl': 'legal', 'alchemy': 'legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}","['paper', 'mtgo', 'arena']",False,False,"['nonfoil', 'foil']",False,a2f58272-bba6-439d-871e-7a46686ac018,False,common,0aeebaf5-8c7d-4636-9e82-8c27447861f7,['1885e6cb-c827-4896-994e-3d0a027d602f'],True,False,2288.0,809.0,"{'source': 'Wizards of the Coast', 'source_uri': '', 'previewed_at': '2024-07-16'}",,,,,,
