draft_id;rank;main_colors;splash_colors;won;deck_Agate Assault;deck_Agate-Blade Assassin;deck_Alania's Pathmaker;deck_Alania, Divergent Storm;deck_Artist's Talent;deck_Azure Beastbinder;deck_Bakersbane Duo;deck_Bandit's Talent;deck_Banishing Light;deck_Bark-Knuckle Boxer;deck_Barkform Harvester;deck_Baylen, the Haymaker;deck_Bellowing Crier;deck_Beza, the Bounding Spring;deck_Blacksmith's Talent;deck_Blooming Blast;deck_Bonebind Orator;deck_Bonecache Overseer;deck_Brambleguard Captain;deck_Brambleguard Veteran;deck_Brave-Kin Duo;deck_Brazen Collector;deck_Brightblade Stoat;deck_Builder's Talent;deck_Bumbleflower's Sharepot;deck_Burrowguard Mentor;deck_Bushy Bodyguard;deck_Byway Barterer;deck_Cache Grab;deck_Calamitous Tide;deck_Camellia, the Seedmiser;deck_Caretaker's Talent;deck_Carrot Cake;deck_Cindering Cutthroat;deck_Clement, the Worrywort;deck_Clifftop Lookout;deck_Coiling Rebirth;deck_Conduct Electricity;deck_Consumed by Greed;deck_Corpseberry Cultivator;deck_Coruscation Mage;deck_Cruelclaw's Heist;deck_Crumb and Get It;deck_Curious Forager;deck_Daggerfang Duo;deck_Daring Waverider;deck_Darkstar Augur;deck_Dawn's Truce;deck_Dazzling Denial;deck_Dewdrop Cure;deck_Dire Downdraft;deck_Diresight;deck_Dour Port-Mage;deck_Downwind Ambusher;deck_Dragonhawk, Fate's Tempest;deck_Dreamdew Entrancer;deck_Driftgloom Coyote;deck_Druid of the Spade;deck_Early Winter;deck_Eddymurk Crab;deck_Eluge, the Shoreless Sea;deck_Emberheart Challenger;deck_Essence Channeler;deck_Fabled Passage;deck_Feather of Flight;deck_Fecund Greenshell;deck_Feed the Cycle;deck_Fell;deck_Festival of Embers;deck_Finch Formation;deck_Finneas, Ace Archer;deck_Fireglass Mentor;deck_Flamecache Gecko;deck_Flowerfoot Swordmaster;deck_For the Common Good;deck_Forest;deck_Fountainport;deck_Fountainport Bell;deck_Frilled Sparkshooter;deck_Frogmite;deck_Galewind Moose;deck_Gev, Scaled Scorch;deck_Glarb, Calamity's Augur;deck_Glidedive Duo;deck_Gossip's Talent;deck_Harnesser of Storms;deck_Harvestrite Host;deck_Hazardroot Herbalist;deck_Hazel's Nocturne;deck_Head of the Homestead;deck_Heaped Harvest;deck_Heartfire Hero;deck_Hearthborn Battler;deck_Heirloom Epic;deck_Helga, Skittish Seer;deck_Hidden Grotto;deck_High Stride;deck_Hired Claw;deck_Hivespine Wolverine;deck_Hoarder's Overflow;deck_Honored Dreyleader;deck_Hop to It;deck_Hugs, Grisly Guardian;deck_Hunter's Talent;deck_Huskburster Swarm;deck_Innkeeper's Talent;deck_Into the Flood Maw;deck_Intrepid Rabbit;deck_Iridescent Vinelasher;deck_Island;deck_Jackdaw Savior;deck_Jolly Gerbils;deck_Junkblade Bruiser;deck_Kastral, the Windcrested;deck_Keen-Eyed Curator;deck_Kindlespark Duo;deck_Kindred Charge;deck_Kitnap;deck_Kitsa, Otterball Elite;deck_Knightfisher;deck_Ledger Shredder;deck_Lifecreed Duo;deck_Lightshell Duo;deck_Lilypad Village;deck_Lilysplash Mentor;deck_Long River Lurker;deck_Long River's Pull;deck_Longstalk Brawl;deck_Lumra, Bellow of the Woods;deck_Lunar Convocation;deck_Lupinflower Village;deck_Mabel's Mettle;deck_Mabel, Heir to Cragflame;deck_Maha, Its Feathers Night;deck_Manifold Mouse;deck_Might of the Meek;deck_Mind Drill Assailant;deck_Mind Spiral;deck_Mindwhisker;deck_Mistbreath Elder;deck_Mockingbird;deck_Moonrise Cleric;deck_Moonstone Harbinger;deck_Mountain;deck_Mouse Trapper;deck_Mudflat Village;deck_Muerra, Trash Tactician;deck_Nettle Guard;deck_Nightwhorl Hermit;deck_Nocturnal Hunger;deck_Oakhollow Village;deck_Osteomancer Adept;deck_Otterball Antics;deck_Overprotect;deck_Parting Gust;deck_Patchwork Banner;deck_Pawpatch Formation;deck_Pawpatch Recruit;deck_Pearl of Wisdom;deck_Peerless Recycling;deck_Persistent Marshstalker;deck_Pileated Provisioner;deck_Plains;deck_Playful Shove;deck_Plumecreed Escort;deck_Plumecreed Mentor;deck_Polliwallop;deck_Pond Prophet;deck_Portent of Calamity;deck_Psychic Whorl;deck_Quaketusk Boar;deck_Rabbit Response;deck_Rabid Gnaw;deck_Raccoon Rallier;deck_Ral, Crackling Wit;deck_Rat Colony;deck_Ravine Raider;deck_Relentless Rats;deck_Repel Calamity;deck_Reptilian Recruiter;deck_Rockface Village;deck_Rottenmouth Viper;deck_Roughshod Duo;deck_Run Away Together;deck_Rust-Shield Rampager;deck_Ruthless Negotiation;deck_Salvation Swan;deck_Savor;deck_Sazacap's Brew;deck_Scales of Shale;deck_Scavenger's Talent;deck_Scrapshooter;deck_Season of Gathering;deck_Season of Loss;deck_Season of Weaving;deck_Season of the Bold;deck_Season of the Burrow;deck_Seasoned Warrenguard;deck_Secluded Courtyard;deck_Seedglaive Mentor;deck_Seedpod Squire;deck_Shore Up;deck_Shoreline Looter;deck_Short Bow;deck_Shrike Force;deck_Sinister Monolith;deck_Skyskipper Duo;deck_Sonar Strike;deck_Spellgyre;deck_Splash Lasher;deck_Splash Portal;deck_Star Charter;deck_Starfall Invocation;deck_Starforged Sword;deck_Stargaze;deck_Starlit Soothsayer;deck_Starscape Cleric;deck_Starseer Mentor;deck_Steampath Charger;deck_Stickytongue Sentinel;deck_Stocking the Pantry;deck_Stormcatch Mentor;deck_Stormchaser's Talent;deck_Stormsplitter;deck_Sugar Coat;deck_Sunshower Druid;deck_Sunspine Lynx;deck_Swamp;deck_Sword of Fire and Ice;deck_Swords to Plowshares;deck_Sylvan Tutor;deck_Take Out the Trash;deck_Tangle Tumbler;deck_Teapot Slinger;deck_Tempest Angler;deck_Tender Wildguide;deck_The Infamous Cruelclaw;deck_Thistledown Players;deck_Thornplate Intimidator;deck_Thornvault Forager;deck_Thought Shucker;deck_Thought-Stalker Warlock;deck_Three Tree City;deck_Three Tree Mascot;deck_Three Tree Rootweaver;deck_Three Tree Scribe;deck_Thundertrap Trainer;deck_Tidecaller Mentor;deck_Toski, Bearer of Secrets;deck_Treeguard Duo;deck_Treetop Sentries;deck_Uncharted Haven;deck_Valley Flamecaller;deck_Valley Floodcaller;deck_Valley Mightcaller;deck_Valley Questcaller;deck_Valley Rally;deck_Valley Rotcaller;deck_Veteran Guardmouse;deck_Vinereap Mentor;deck_Vren, the Relentless;deck_Wandertale Mentor;deck_War Squeak;deck_Warren Elder;deck_Warren Warleader;deck_Waterspout Warden;deck_Wax-Wane Witness;deck_Wear Down;deck_Whiskerquill Scribe;deck_Whiskervale Forerunner;deck_Wick's Patrol;deck_Wick, the Whorled Mind;deck_Wildfire Howl;deck_Wishing Well;deck_Ygra, Eater of All;deck_Zoraline, Cosmos Caller;wins;losses;removal_score;win_rate;bomb_score;cmc_0;cmc_1;cmc_2;cmc_3;cmc_4;cmc_5;cmc_6;color_category;is_W;is_U;is_B;is_R;is_G;is_WU;is_WB;is_WR;is_WG;is_UB;is_UR;is_UG;is_BR;is_BG;is_RG;is_Multi;avg_gp_wr;medal_status;medal_binary;card_synergy
deaa4cdcd3e84d8e8b5a0ea34a0f9d79;gold;BG;WR;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;3;0.08799999999999986;0.6666666666666666;44.01699999999977;0;1;9;7;3;3;0;BG;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.5533478260869565;almost medal;1;8.80475537387461
676ca08a6f5e49ae9aee978bd62c02b1;silver;UBG;WR;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0.05300000000000005;0.5;17.998999999999764;0;2;14;3;2;2;0;Multi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.5499130434782609;no medal;0;8.1233834400405
488a8410974649eb82add4b1a6f54a75;silver;BR;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0.17699999999999982;0.5;55.61999999999979;0;1;7;12;2;2;0;BR;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.543125;no medal;0;3.809749140978967
041c4197d49d4d5ea490cc10b0677822;silver;UG;W;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0.0;0.5;14.363999999999805;0;2;6;8;4;3;0;GU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5431304347826087;no medal;0;8.337482624105496
41dafe993991494e9bbf2894af398d25;gold;WR;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;3;0.02100000000000002;0.6666666666666666;68.92099999999962;0;6;8;8;1;1;0;RW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5452916666666668;almost medal;1;0.33345383273823026
f570c6a0e89a44ff83f9301b1fa8ef1b;gold;WB;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;0.03399999999999992;0.4;0.21700000000000058;0;2;9;6;2;4;0;BW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5483043478260871;no medal;0;7.530760135021447
7c5e0736075241d7a0170c535f9a0cdf;gold;WR;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;3;3;0.0040000000000000036;0.5;0.3430000000000009;0;7;12;3;2;0;0;RW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5442500000000002;no medal;0;-0.4656677252856116
7d6e7ac9a9eb40808c54bd251b72837c;gold;RG;W;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0.04200000000000004;0.6666666666666666;0.008000000000000021;0;1;11;4;5;2;0;GR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5409999999999999;almost medal;1;1.218891125527498
58481b87c1c24c409f5076bf758cef7d;platinum;UG;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0.06000000000000005;0.25;58.24699999999967;0;2;7;7;7;0;1;GU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5422083333333334;no medal;0;13.320988776736328
4ea0265993b146c6924e227911309882;;RG;B;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0.006000000000000005;0.5;28.7389999999999;0;4;8;3;4;3;1;GR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5421199999999999;no medal;0;1.9891544796451743
